"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","011588322","Monograph","Language material ; Text","Volume","GB7003189","","9780586028148","The disaster area","","","","England","London","Panther","1969","","191 pages, 18 cm","823.91","","","","English","Originally published (B67-20314), London: Cape, 1967",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","011643445","Monograph","Language material ; Text","Volume","GB9450276","","9780586045039","Low-flying aircraft and other stories","","","","England","London","Flamingo","1992","","190 pages","823.914","","English fiction","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","011643450","Monograph","Language material ; Text","Volume","GB9344140","","9780586051870","The venus hunters","","","","England","London","Flamingo","1992","","142 pages","823.914","","English fiction--Short stories","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","011643603","Monograph","Language material ; Text","Volume","GB8859305","","9780586201008","The day of creation","","","","England","","Grafton","1988","","287 pages","823.91 ; 823.914","","Fiction in English--1945---Texts","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","011818370","Monograph","Language material ; Text","Volume","GB8846166","","","Why I want to fuck Ronald Reagan","","","","England","","Plashet","1988","","7 leaves","823.914","Cup.410.f.293","Fiction in English--1945-","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","012267613","Monograph","Language material ; Text","Volume","GB9776568","","9780575401297","The drowned world","","","","England","London","Indigo","1997","","175 pages, 20 cm","823.914","","","","English","Originally published: London: Gollancz, 1962",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","012267614","Monograph","Language material ; Text","Volume","GB97W8112","","9780575401303","The voices of time","","","","England","London","Indigo","1997","","208 pages, 20 cm","823.914","","","","English","Originally published: London: Orion, 1992",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","012267615","Monograph","Language material ; Text","Volume","GB97W8111","","9780575401310","The terminal beach","","","","England","London","Indigo","1997","","224 pages, 20 cm","823.914","","","","English","Originally published: London: Phoenix, 1993",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","012268676","Monograph","Language material ; Text","Volume","GB9619674","","9780586089910","The day of forever","","","","England","London","Flamingo","1995","","126 pages, 20 cm","823.914","","","","English","Originally published, London: Panther books, 1967",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","012295843","Monograph","Language material ; Text","Volume","GB7730735","","9780140023459","The four-dimensional nightmare","","Penguin science fiction","","England","Harmondsworth","Penguin","1977","","211 pages, 18 cm","823.91","","Short stories in English, 1900---Texts ; Short stories, English","","English","'reprinted, with the two stories 'Prima belladonna' and 'Studio 5, the stars' replaced by 'The overloaded man' and 'Thirteen to Centaurus' - title page verso ; This collection originally published: London : Gollancz, 1963",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","012300198","Monograph","Language material ; Text","Volume","GB8603258","","9780586045046","The drought","","","","England","London","Triad","1985","","188 pages, 20 cm","823.91 ; 823.914","","Fiction in English--1945---Texts","","English","Originally published: London : Cape, 1965",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","012305385","Monograph","Language material ; Text","Sheet","GB8826625","","9780708984802","The day of creation","","","","England","","Charnwood","1988","","384 pages (large print)","823.91 ; 823.914","","Fiction in English--1945---Texts","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","012636128","Monograph","Language material ; Text","Volume","GB8517319","","9780708982709","Empire of the sun","","Charnwood large type ; Charnwood library series","","England","Leicester","Charnwood","1985","","465 pages, 1 map, 23 cm","823.914","Nov.54627","Fiction in English--1945---Texts","","English","Originally published: London : Gollancz, 1984 ; Published in large print",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","012872862","Monograph","Language material ; Text","Volume","GBA4X8125","","9780006551614","Millennium people","","","","England","London","HarperPerennial","2004","","304 pages, 20 cm","823.914","","Political violence--Great Britain--Fiction ; Social change--Great Britain--Fiction ; Middle class--Great Britain--Fiction","Fiction","English","Originally published: London: Flamingo, 2003",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","012878725","Monograph","Language material ; Text","Volume","GBA4X2335","","9780099466895","Crash","","","","England","London","Vintage","2004","","224 pages, 18 cm","823.914","","Traffic accident victims--Psychology--Fiction ; Traffic accident victims--Sexual behavior--Fiction ; Traffic accidents--Fiction","Fiction","English","Originally published: London: Jonathan Cape, 1973",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","013056102","Monograph","Language material ; Text","Volume","GBA500039","","","News from the sun","","","","England","London","Interzone","1982","","26 pages, 21 cm","823.914","YD.2005.a.1980 ; YD.2005.a.98","English literature--20th century","","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","013332131","Monograph","Language material ; Text","Volume","GBA594639","","9780007221523","Empire of the sun","","Harper Perennial modern classics","","England","London","Harper Perennial","2006","","351 pages, 20 cm","823.914","H.2006/1736","Shanghai (China)--Fiction ; Boys--China--Shanghai--Fiction ; British--China--Shanghai--Fiction ; World War, 1939-1945--China--Shanghai--Fiction","Bildungsroman ; Fiction","English","Originally published: London: Gollancz, 1984",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","013332133","Monograph","Language material ; Text","Volume","GBA594641","","9780007221837","The drowned world","","","","England","London","Harper Perennial","2006","","175, 16 pages, 20 cm","823.914","H.2007/1821","","Fantasy","English","Originally published: London: Gollancz, 1962",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","013447333","Monograph","Language material ; Text","Volume","GBA640092","","9780007232468","Kingdom come","","","","England","London","Fourth Estate","2006","","304 pages, 24 cm","823.914","","Consumption (Economics)--Social aspects--England--Fiction","Dystopia ; Fiction","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","013454390","Monograph","Language material ; Text","Volume","GBA642031","","9780007227891","The day of creation","","","","England","London","Harper Perennial","2006","","287 pages, 20 cm","823.914","H.2006/4481","Africa, Central--Fiction ; Physicians--Africa--Fiction","Fiction","English","Originally published: London: Gollancz, 1987",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","013489936","Monograph","Language material ; Text","Volume","GBA653868","","","The complete short stories","Short stories (Ibadan, Nigeria)","","","England","London","Harper Perennial","2006","","2 volumes, 20 cm","823.914","H.2007/201 ; H.2007/202","","","English","Originally published in 1 volume: London : Flamingo, 2001",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","013618151","Monograph","Language material ; Text","Volume","","","9780006550648","Cocaine nights","","","","","","Harper Perennial","2006","","","","","","","","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","013618155","Monograph","Language material ; Text","Volume","","","9780586044568","High-rise","","","","","","Harper Perennial","2006","","","","","","","","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","013618261","Monograph","Language material ; Text","Volume","GBA879907","","9780007116867","The atrocity exhibition","","","","England","London","Harper Perennial","2006","Expanded and annotated edition","viii, 184, 22 pages, 20 cm","823.914","H.2008/2665","Physicians--Fiction","Fiction","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","013688749","Monograph","Language material ; Text","Volume","GBA718213","","9780007232475","Kingdom come","","","","England","London","Harper Perennial","2007","","280 pages, 20 cm","823.914","H.2007/4797","Consumption (Economics)--Social aspects--England--Fiction","Dystopia ; Fiction","English","Originally published: London: Fourth Estate, 2006",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","014100189","Monograph","Language material ; Text","Volume","GBA783541","","9780007268405","Empire of the sun","","The Perennial collection","","England","London","Harper Perennial","2008","","351, 31 pages, 20 cm","823.914","H.2008/2388","Boys--China--Shanghai--Fiction ; Shanghai (China)--Fiction ; Bildungsromans ; British--China--Shanghai--Fiction ; World War, 1939-1945--China--Shanghai--Fiction","Fiction","English","Originally published: London: Gollancz, 1984",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","014100194","Monograph","Language material ; Text","Volume","GBA783546","","9780007270729","Miracles of life : Shanghai to Shepperton : an autobiography","","","","England","London","Fourth Estate","2008","","viii, 278 pages, illustrations, 23 cm","823.914","YK.2008.a.16774","Ballard, J. G, 1930-2009 ; World War, 1939-1945--Influence ; Novelists, English--20th century--Biography","Biography","English","",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","014624379","Monograph","Language material ; Text","Volume","GBA877098","","9780586089958","The Unlimited Dream Company","","","","England","London","HarperPerennial","2008","","220, 16 pages, 20 cm","823.92","H.2008/2534","Fiction in English","Fantasy","English","Includes 16 p. interview section ; Originally published by Jonathan Cape, 1979",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","014624400","Monograph","Language material ; Text","Volume","GBA877101","","9780586089965","The drought","","","","England","London","HarperPerennial","2008","","232, 12 pages, 21 cm","823.92","H.2008/2535","","Fantasy","English","Includes 12 p. notes section ; Originally published : Jonathan Cape, 1965",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","014632838","Monograph","Language material ; Text","Volume","GBA872796","","9780007272341","Miracles of life : Shanghai to Shepperton : an autobiography","","","","England","London","Harper Perennial","2008","","278 pages, illustrations, portraits, 20 cm","823.914","","Ballard, J. G, 1930-2009 ; Novelists, English--20th century--Biography","Biography","English","Originally published: London : Fourth Estate, 2008",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","014632892","Monograph","Language material ; Text","Volume","GBA872850","","9780007287024","Crash","","","","England","London","Harper Perennial","2008","","185, 30 pages, 20 cm","823.914","H.2009/671","Traffic accident victims--Psychology--Fiction ; Traffic accident victims--Sexual behavior--Fiction ; Traffic accidents--Fiction","Fiction","English","Originally published: London: Jonathan Cape, 1973",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","014632893","Monograph","Language material ; Text","Volume","GBA872851","","9780007287031","Hello America","","","","England","London","Harper Perennial","2008","","224, 25 pages, 20 cm","823.914","H.2009/.4677","America--Social conditions--Fiction ; America--Civilization--Fiction","Dystopia ; Fiction","English","Originally published: London: Cape, 1981",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","014632894","Monograph","Language material ; Text","Volume","GBA872852","","9780007287048","Concrete Island","","","","England","London","Harper Perennial","2008","","176, 28 pages, 20 cm","823.914","H.2009/500","Survival skills--Fiction ; Traffic accidents--Fiction ; Architects--Fiction ; Traffic accident victims--Fiction","Fiction","English","Originally published: London: Cape, 1974",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","014637446","Monograph","Language material ; Text","Volume","","","9780007292790","A user's guide to the millennium","","","","England","London","HarperCollins","2008","","320 pages, 20 x 13 cm","","","","","English","paperback B-format paperback",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","014681389","Monograph","Language material ; Text","Volume","GBA894906","","9780007292790","A user's guide to the millennium","","","","England","London","HarperCollins","2008","","1 volume, 20 cm","306","","Culture ; Civilization, Modern--20th century ; Technology--Social aspects","","English","Includes index ; Originally published: 1996",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","014782993","Monograph","Language material ; Text","Volume","GBA8C1396","","9780753195246","Miracles of life : Shanghai to Shepperton : an autobiography","","","","England","Oxford","ISIS","2009","Large print edition","249 pages (large print), 25 cm","823.914","LT.2009.x.390","Ballard, J. G, 1930-2009 ; World War, 1939-1945--Influence ; Large type books ; Novelists, English--20th century--Biography","Biography","English","Originally published: London: Fourth Estate, 2008",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","014785570","Monograph","Language material ; Text","Volume","GBA9C2295","","9780006548140","Rushing to paradise","","","","England","London","HarperCollins","2008","","238 pages, 16 pages, 20 cm","823.914","H.2009/.5259","","","English","First published in 1994 by Flamingo",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","015565821","Monograph","Language material ; Text","Volume","GBB066737","","9780007378333","Empire of the sun","","","","England","London","Fourth Estate","2010","Special commemorative edition","1 volume, 24 cm","823.914","","Shanghai (China)--Fiction ; Boys--China--Shanghai--Fiction ; British--China--Shanghai--Fiction ; World War, 1939-1945--China--Shanghai--Fiction","Bildungsroman ; Fiction","English","Originally published: London: Gollancz, 1984",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","015565822","Monograph","Language material ; Text","Volume","GBB066738","","9780007378340","Crash","","","","England","London","Fourth Estate","2010","Special commemorative edition","1 volume, 24 cm","823.914","","Traffic accident victims--Psychology--Fiction ; Traffic accident victims--Sexual behavior--Fiction ; Traffic accidents--Fiction","Fiction","English","Originally published: London: Jonathan Cape, 1973",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","017608436","Monograph","Language material ; Text","Volume","","","9780007454877","Untitled J. G. Ballard collection","","","","England","London","Fourth Estate ; Harper Entertainment ; HarperCollins ; Jonathan Ball","2015","","300 pages, 24 x 16 cm","","","","","English","hardback",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","017847370","Monograph","Language material ; Text","Online resource","GBB6F6382","","9780007382910","High-rise","","","","Australia","Sydney","Fourth Estate","2014","","1 online resource","823.914","ELD.DS.60012","High-rise apartment buildings--Social aspects--Fiction ; Regression (Psychology)--Fiction ; Fiction--General ; Fiction in English","Fiction","English","Fiction",""
"Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","018511696","Monograph","Language material ; Text","Online resource","GBB7H3224","","9781446420041","Vermilion Sands","","","","England ; United Kingdom","London","Vintage Digital","2010","","1 online resource (208 pages)","823.914","ELD.DS.183677","FICTION / Short Stories (single author) ; Fiction","","English","",""
"Ballard, J. G.","1930-2009","person","","Goddard, James, of Lymington [person] ; Ballard, J. G., 1930-2009 [person]","001443673","Monograph","Language material ; Text","Volume","","","","J. G. Ballard. A bibliography, etc","","","","England","Lymington","Cypher Press","1970","","27 pages, 26 cm","","2785.ct.57","","","","Reproduced from typewriting",""
"Ballard, J. G.","1930-2009","person","","Gregory, Carol [person] ; Ballard, J. G., 1930-2009 [person] ; Pringle, David, 1950- [person] ; Goddard, James [person]","006742115","Monograph","Language material ; Text","Volume","GB7633565","","9780905220031 ; 9780905220048","J.G. Ballard, the first twenty years","","","","England","Hayes ; Wimborne Ave, Hayes, Middlesex","Bran's Head","1976","","10, 76, 24 pages, illustrations, 1 portrait, 22 cm","823.914","X.989/51000","Science fiction, English--Bibliography ; Fiction in English--Ballard, J--G--James Graham--1930- ; Science fiction, English--History and criticism ; Ballard, J. G, 1930-2009--Criticism and interpretation","","English","",""
"Ballard, J. G.","1930-2009","person","","Hales, Sheila [person] ; Ballard, J. G., 1930-2009 [person]","007375349","Monograph","Language material ; Text","Volume","GB8931860","","9780435164188","Empire of the sun, J.G. Ballard","Empire of the sun","Heinemann fiction project ; Teaching strategies for literature and language","","England","Oxford","Heinemann","1989","","48 pages, illustrations, 30 cm","823.0071241","Cup.936/1086","Fiction--Study and teaching (Secondary)--Great Britain ; Great Britain--Secondary schools--Curriculum subjects--Fiction in English--Teaching ; English literature--Study and teaching (Secondary)--Great Britain","","English","In plastic slip case",""
"Ballard, J. G.","1930-2009","person","","O'Hara, Daniel Finbarr John, 1972- [person] ; Ballard, J. G., 1930-2009 [person] ; Sellars, Simon [person]","016086021","Monograph","Language material ; Text","Volume","GBB246800","","9780007454853","Extreme metaphors : selected interviews with J.G. Ballard, 1967-2008","","","","England","London","Fourth Estate","2012","","xxiii, 503 pages, 24 cm","823.914","YC.2013.a.7204","Ballard, J. G, 1930-2009--Interviews","Interview","English","",""
"Ballard, J. G.","1930-2009","person","","Shashou, Natalie [person] ; Ballard, J. G., 1930-2009 [person] ; Robinson, Jamie [person]","013086516","Monograph","Language material ; Text","Volume","GBA505321","","9781903781029","Pleasant lands","","","","England","London","Immprint","2005","","196 pages, illustrations, 31 cm","779.092","","Documentary photography ; Robinson, Jamie","","English","",""
"Ballard, J. G.","1930-2009","person","artist ; author ; interviewee","Ballard, J. G., 1930-2009 [person] ; Black, Candice, editor [person] ; Ballard, J. G., 1930-2009, artist ; author ; interviewee [person]","016256756","Monograph","Language material ; Still image ; Text","Volume","GBB305811","","9780985762513","Terminal atrocity zone : Ballard","Advertiser's announcements ; Coitus 80 ; Journey across a crater","","","Thailand","Bangkok","Sun Vision","2013","","1 volume, black and white illustrations, 23 cm","823.914","","Science fiction, English ; Ballard, J. G, 1930-2009--Criticism and interpretation ; Ballard, J. G, 1930-2009--Interviews","Interview","English","",""
"Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person] ; Beckett, Chris, 1955-, editor [person]","018263881","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB745514","","9780008257316","Crash","","","","England","London","4th Estate","2017","Epub edition","1 online resource","823.914","ELD.DS.137742","Fiction and related items / Modern and contemporary fiction (post c. 1945) ; Fiction--Literary ; FICTION--Literary","","English","Additional physical form: Print version. 9780007287024 ; Previously issued in print: London: Jonathan Cape, 1973",""
"Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person] ; Potter, J. K., illustrator [person]","016659370","Monograph","Language material ; Text","Volume","","","9780870541575","Memories of the space age","Short stories. Selections","","","United States of America","Sauk City, Wisconson","Arkham House","1988","First edition","216 pages, black and white illustrations, 21 cm","823.914","YD.2014.a.1221","Science fiction, English","","English","Eight stories originally published between 1962 and 1985",""
"Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","016659368","Monograph","Language material ; Text","Volume","","","9780312131647 ; 9780312134150","Rushing to paradise","","","","United States of America","New York","Picador USA","1995","1st Picador USA edition","238 pages, 22 cm","823.914","YD.2014.a.1226","Feminists--Fiction ; Utopias--Fiction ; Islands of the Pacific--Fiction ; Women environmentalists--Fiction","Humour or satire ; Utopian fiction","English","",""
"Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","016659399","Monograph","Language material ; Text","Volume","","","9781887178662","Cocaine nights","","","","United States of America","Washington, District of Columbia","Counterpoint","1998","","328 pages, 23 cm","823.914","YD.2014.a.1219","British--Spain--Fiction ; Retirees--Fiction","Detective and mystery fiction","English","Originally published: London : HarperCollinsPublishers. 1996",""
"Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","016659405","Monograph","Language material ; Text","Volume","","","9780374524135","Concrete island","","","","United States of America","New York","Noonday Press","1994","","175 pages, 21 cm","823.914","YD.2014.a.1220","Survival after airplane accidents, shipwrecks, etc--Fiction ; Traffic accidents--Fiction","Fiction","English","Originally published: Farrar, Straus and Giroux. 1974",""
