"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"823.914","010129072","Monograph","Language material ; Text","Volume","GB9735426","","9780965046978","","","","","Juno, Andrea [person] ; Vale, Vivian [person]","J. G. Ballard","","RE/Search","number 8/9 [RE/Search]","England","Enfield ; San Francisco, California","Airlift ; Search Publications","1984","","171 pages, illustrations, portraits, 28 cm","YA.1997.b.3427","Science fiction, English--History and criticism ; Ballard, J. G, 1930-2009--Criticism and interpretation","","English","Cover title ; bibliography: p166-171. _ Includes index",""
"823.914","010655632","Monograph","Language material ; Text","Volume","GB8855655","","9780091734985","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Running wild","","","","England","","Century Hutchinson","1988","","80 pages","Nov.1989/213","Fiction in English--1945---Texts","","English","",""
"823.914","010661264","Monograph","Language material ; Text","Volume","GB9500620","","9780099265917","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Hello America","","","","England","London","Vintage","1994","","224 pages","H.95/1259","English fiction","","English","",""
"823.914","010662111","Monograph","Language material ; Text","Volume","GB9428812","","9780099334712","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Myths of the near future","","","","England","London","Vintage","1994","","205 pages","H.94/959","English fiction--Short stories","","English","",""
"823.914","010662112","Monograph","Language material ; Text","Volume","GB9500895","","9780099334811","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Concrete island","","","","England","London","Vintage","1994","","176 pages","H.95/119","English fiction","","English","",""
"823.914","010662113","Monograph","Language material ; Text","Volume","GB9508048","","9780099334910","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Vintage","1995","","224 pages","H.95/1339","English fiction","","English","",""
"823.914","010705075","Monograph","Language material ; Text","Volume","GB8527359","","9780586023075","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The day of forever","","","","England","London","Panther","1985","","126 pages, 20 cm","X.958/30106 ; YK.1986.a.1534","Short stories in English--1945---Texts","","English","",""
"823.914","010705077","Monograph","Language material ; Text","Volume","GB9449371","","9780586024195","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The crystal world","","","","England","London","Flamingo","1993","","175 pages","H.94/2505","English fiction","","English","",""
"823.914","010705325","Monograph","Language material ; Text","Volume","GB9328652","","9780586044568","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","High-Rise","","","","England","","Flamingo","1993","","173 pages","YK.1993.a.8434","English fiction","","English","",""
"823.914","010705691","Monograph","Language material ; Text","Volume","GB8100415","","9780586051870","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The Venus hunters","","A Panther book","","England","London","Granada","1980","","144 pages, 18 cm","H.81/86","Short stories in English--1945---Texts","","English","",""
"823.914","010705702","Monograph","Language material ; Text","Volume","GB8209543","","9780586052051","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The unlimited dream company","","","","England","London","Granada ; Triad","1981","","220 pages, 18 cm","H.82/351","Fiction in English--1945---Texts","","English","Originally published: London : Cape, 1979",""
"823.914","010705836","Monograph","Language material ; Text","Volume","GB8340198","","9780586055717","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Hello America","","","","England","London","Triad","1983","","236 pages, 18 cm","H.83/1143","Fiction in English--1945---Texts","","English","Originally published: London : Cape, 1981",""
"823.914","010705970","Monograph","Language material ; Text","Volume","GB8506399","","9780586058886","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Myths of the near future","","","","England","London","Triad","1984","","205 pages, 20 cm","X.958/26967","Short stories in English--1945---Texts","","English","Originally published: London : Cape, 1982",""
"823.914","010706231","Monograph","Language material ; Text","Volume","GB8644335","","9780586064306","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Empire of the sun","","","","England","London","Panther","1985","","351 pages, 1 map, 18 cm","H.86/49 ; VGR/1513 ; YK.1990.a.130","Fiction in English--1945---Texts","","English","Originally published: London : Gollancz, 1984",""
"823.914","010707323","Monograph","Language material ; Text","Volume","GB9159321","","9780586089897","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","","Paladin","1990","","171 pages","H.91/3561","","","English","",""
"823.914","010707324","Monograph","Language material ; Text","Volume","GB9360601","","9780586089927","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The atrocity exhibition","","","","England","London","Flamingo","1993","Revised, expanded and annotated edition","135 pages, 25 cm","YK.1994.b.666","English fiction","","English","Previous edition: London : Cape, 1970",""
"823.914","010707327","Monograph","Language material ; Text","Volume","GB9150045","","9780586089958","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The Unlimited Dream Company","","","","England","","Paladin","1990","","220 pages","H.91/2847","English fiction","","English","",""
"823.914","010707328","Monograph","Language material ; Text","Volume","GB9150023","","9780586089965","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The drought","","","","England","","Paladin","1990","","188 pages","H.91/2846","English fiction","","English","",""
"823.914","010707348","Monograph","Language material ; Text","Volume","GB9325649","","9780586090220","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Hello America","","","","England","","Flamingo","1993","","236 pages","H.93/2013","English fiction","","English","",""
"823.914","010707383","Monograph","Language material ; Text","Volume","GB9214596","","9780586090718","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The disaster area","","","","England","","Paladin","1992","","191 pages","H.92/905","English fiction","","English","",""
"823.914","010707474","Monograph","Language material ; Text","Volume","GB9214566","","9780586092255","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Concrete island","","","","England","","TriadGrafton","1992","","126 pages","H.92/906","English fiction","","English","",""
"823.914","010707540","Monograph","Language material ; Text","Volume","GB9434555","","9780586201008","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The day of creation","","","","England","London","Grafton","1988","","287 pages","H.94/2147","English fiction","","English","",""
"823.914","010708061","Monograph","Language material ; Text","Volume","GB9225918","","9780586210994","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The kindness of women","","","","England","","Grafton","1992","","348 pages","H.92/1725","English fiction","","English","",""
"823.914","011643445","Monograph","Language material ; Text","Volume","GB9450276","","9780586045039","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Low-flying aircraft and other stories","","","","England","London","Flamingo","1992","","190 pages","","English fiction","","English","",""
"823.914","011643450","Monograph","Language material ; Text","Volume","GB9344140","","9780586051870","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The venus hunters","","","","England","London","Flamingo","1992","","142 pages","","English fiction--Short stories","","English","",""
"823.914","011643603","Monograph","Language material ; Text","Volume","GB8859305","","9780586201008","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The day of creation","","","","England","","Grafton","1988","","287 pages","","Fiction in English--1945---Texts","","English","",""
"823.914","011818370","Monograph","Language material ; Text","Volume","GB8846166","","","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Why I want to fuck Ronald Reagan","","","","England","","Plashet","1988","","7 leaves","Cup.410.f.293","Fiction in English--1945-","","English","",""
"823.914","012013536","Monograph","Language material ; Text","Volume","","","9780893701383 ; 9780893702380","Pringle, David","","person","","Pringle, David [person]","Earth is the alien planet : J. G. Ballard's four-dimensional nightmare","","Popular writers of today ; The Milford series","volume 26 [Popular writers of today]","United States of America","San Bernardino, California","Borgo Press","1979","","63 pages, illustrations, 22 cm","6551.700000 ; YA.1986.a.2170","Science fiction, English--History and criticism ; Ballard, J. G, 1930-2009--Criticism and interpretation ; Fiction in English--Ballard, J--G--1930-","","English","",""
"823.914","012267613","Monograph","Language material ; Text","Volume","GB9776568","","9780575401297","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The drowned world","","","","England","London","Indigo","1997","","175 pages, 20 cm","","","","English","Originally published: London: Gollancz, 1962",""
"823.914","012267614","Monograph","Language material ; Text","Volume","GB97W8112","","9780575401303","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The voices of time","","","","England","London","Indigo","1997","","208 pages, 20 cm","","","","English","Originally published: London: Orion, 1992",""
"823.914","012267615","Monograph","Language material ; Text","Volume","GB97W8111","","9780575401310","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The terminal beach","","","","England","London","Indigo","1997","","224 pages, 20 cm","","","","English","Originally published: London: Phoenix, 1993",""
"823.914","012268676","Monograph","Language material ; Text","Volume","GB9619674","","9780586089910","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The day of forever","","","","England","London","Flamingo","1995","","126 pages, 20 cm","","","","English","Originally published, London: Panther books, 1967",""
"823.914","012300198","Monograph","Language material ; Text","Volume","GB8603258","","9780586045046","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The drought","","","","England","London","Triad","1985","","188 pages, 20 cm","","Fiction in English--1945---Texts","","English","Originally published: London : Cape, 1965",""
"823.914","012305385","Monograph","Language material ; Text","Sheet","GB8826625","","9780708984802","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The day of creation","","","","England","","Charnwood","1988","","384 pages (large print)","","Fiction in English--1945---Texts","","English","",""
"823.914","012636128","Monograph","Language material ; Text","Volume","GB8517319","","9780708982709","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Empire of the sun","","Charnwood large type ; Charnwood library series","","England","Leicester","Charnwood","1985","","465 pages, 1 map, 23 cm","Nov.54627","Fiction in English--1945---Texts","","English","Originally published: London : Gollancz, 1984 ; Published in large print",""
"823.914","012872862","Monograph","Language material ; Text","Volume","GBA4X8125","","9780006551614","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Millennium people","","","","England","London","HarperPerennial","2004","","304 pages, 20 cm","","Political violence--Great Britain--Fiction ; Social change--Great Britain--Fiction ; Middle class--Great Britain--Fiction","Fiction","English","Originally published: London: Flamingo, 2003",""
"823.914","012878725","Monograph","Language material ; Text","Volume","GBA4X2335","","9780099466895","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Vintage","2004","","224 pages, 18 cm","","Traffic accident victims--Psychology--Fiction ; Traffic accident victims--Sexual behavior--Fiction ; Traffic accidents--Fiction","Fiction","English","Originally published: London: Jonathan Cape, 1973",""
"823.914","013056102","Monograph","Language material ; Text","Volume","GBA500039","","","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","News from the sun","","","","England","London","Interzone","1982","","26 pages, 21 cm","YD.2005.a.1980 ; YD.2005.a.98","English literature--20th century","","English","",""
"823.914","013124861","Monograph","Language material ; Text","Volume","GBA518665","","9780719070525 ; 9780719070532","Gąsiorek, Andrzej","1960-","person","","Gąsiorek, Andrzej, 1960- [person]","J.G. Ballard","","Contemporary British novelists","","England","Manchester","Manchester University Press","2005","","228 pages, 23 cm","YC.2006.a.20620 ; m05/.29582","Ballard, J. G, 1930-2009--Criticism and interpretation","","English","",""
"823.914","013332131","Monograph","Language material ; Text","Volume","GBA594639","","9780007221523","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Empire of the sun","","Harper Perennial modern classics","","England","London","Harper Perennial","2006","","351 pages, 20 cm","H.2006/1736","Shanghai (China)--Fiction ; Boys--China--Shanghai--Fiction ; British--China--Shanghai--Fiction ; World War, 1939-1945--China--Shanghai--Fiction","Bildungsroman ; Fiction","English","Originally published: London: Gollancz, 1984",""
"823.914","013332133","Monograph","Language material ; Text","Volume","GBA594641","","9780007221837","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The drowned world","","","","England","London","Harper Perennial","2006","","175, 16 pages, 20 cm","H.2007/1821","","Fantasy","English","Originally published: London: Gollancz, 1962",""
"823.914","013447333","Monograph","Language material ; Text","Volume","GBA640092","","9780007232468","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Kingdom come","","","","England","London","Fourth Estate","2006","","304 pages, 24 cm","","Consumption (Economics)--Social aspects--England--Fiction","Dystopia ; Fiction","English","",""
"823.914","013454390","Monograph","Language material ; Text","Volume","GBA642031","","9780007227891","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The day of creation","","","","England","London","Harper Perennial","2006","","287 pages, 20 cm","H.2006/4481","Africa, Central--Fiction ; Physicians--Africa--Fiction","Fiction","English","Originally published: London: Gollancz, 1987",""
"823.914","013489936","Monograph","Language material ; Text","Volume","GBA653868","","","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The complete short stories","Short stories (Ibadan, Nigeria)","","","England","London","Harper Perennial","2006","","2 volumes, 20 cm","H.2007/201 ; H.2007/202","","","English","Originally published in 1 volume: London : Flamingo, 2001",""
"823.914","013618261","Monograph","Language material ; Text","Volume","GBA879907","","9780007116867","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The atrocity exhibition","","","","England","London","Harper Perennial","2006","Expanded and annotated edition","viii, 184, 22 pages, 20 cm","H.2008/2665","Physicians--Fiction","Fiction","English","",""
"823.914","013688749","Monograph","Language material ; Text","Volume","GBA718213","","9780007232475","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Kingdom come","","","","England","London","Harper Perennial","2007","","280 pages, 20 cm","H.2007/4797","Consumption (Economics)--Social aspects--England--Fiction","Dystopia ; Fiction","English","Originally published: London: Fourth Estate, 2006",""
"823.914","014100189","Monograph","Language material ; Text","Volume","GBA783541","","9780007268405","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Empire of the sun","","The Perennial collection","","England","London","Harper Perennial","2008","","351, 31 pages, 20 cm","H.2008/2388","Boys--China--Shanghai--Fiction ; Shanghai (China)--Fiction ; Bildungsromans ; British--China--Shanghai--Fiction ; World War, 1939-1945--China--Shanghai--Fiction","Fiction","English","Originally published: London: Gollancz, 1984",""
"823.914","014100194","Monograph","Language material ; Text","Volume","GBA783546","","9780007270729","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Miracles of life : Shanghai to Shepperton : an autobiography","","","","England","London","Fourth Estate","2008","","viii, 278 pages, illustrations, 23 cm","YK.2008.a.16774","Ballard, J. G, 1930-2009 ; World War, 1939-1945--Influence ; Novelists, English--20th century--Biography","Biography","English","",""
"823.914","014632838","Monograph","Language material ; Text","Volume","GBA872796","","9780007272341","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Miracles of life : Shanghai to Shepperton : an autobiography","","","","England","London","Harper Perennial","2008","","278 pages, illustrations, portraits, 20 cm","","Ballard, J. G, 1930-2009 ; Novelists, English--20th century--Biography","Biography","English","Originally published: London : Fourth Estate, 2008",""
"823.914","014632892","Monograph","Language material ; Text","Volume","GBA872850","","9780007287024","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Harper Perennial","2008","","185, 30 pages, 20 cm","H.2009/671","Traffic accident victims--Psychology--Fiction ; Traffic accident victims--Sexual behavior--Fiction ; Traffic accidents--Fiction","Fiction","English","Originally published: London: Jonathan Cape, 1973",""
"823.914","014632893","Monograph","Language material ; Text","Volume","GBA872851","","9780007287031","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Hello America","","","","England","London","Harper Perennial","2008","","224, 25 pages, 20 cm","H.2009/.4677","America--Social conditions--Fiction ; America--Civilization--Fiction","Dystopia ; Fiction","English","Originally published: London: Cape, 1981",""
"823.914","014632894","Monograph","Language material ; Text","Volume","GBA872852","","9780007287048","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Concrete Island","","","","England","London","Harper Perennial","2008","","176, 28 pages, 20 cm","H.2009/500","Survival skills--Fiction ; Traffic accidents--Fiction ; Architects--Fiction ; Traffic accident victims--Fiction","Fiction","English","Originally published: London: Cape, 1974",""
"823.914","014708430","Monograph","Language material ; Text","Volume","GBA8A5764","","9780826497253 ; 9780826497260","","","","","Baxter, Jeannette [person]","J.G. Ballard","","Contemporary critical perspectives","","England","London","Continuum","2008","","xvii, 151 pages, 25 cm","YC.2010.a.8207 ; m11/.11306","Ballard, J. G, 1930-2009--Criticism and interpretation","","English","",""
"823.914","014746785","Monograph","Language material ; Text","Volume","GBB057064","","9780955575310","Roberts, Arthur","","person","critic","Roberts, Arthur, critic [person]","Empire of the sun, J.G. Ballard","","EK passport study notes","","England","Leeds","EK Press","2008","","116 pages, 21 cm","YK.2010.a.14655","Ballard, J. G, 1930-2009","","English","paperback",""
"823.914","014771483","Monograph","Language material ; Text","Volume","GBA8B6288","","9780754662679","Baxter, Jeannette","","person","","Baxter, Jeannette [person]","J.G. Ballard's surrealist imagination : spectacular authorship","","","","England","Farnham","Ashgate","2009","","xi, 243 pages, illustrations, 24 cm","YC.2009.a.8685 ; m09/.25321","Surrealism (Literature) ; Science fiction, English--History and criticism ; Ballard, J. G, 1930-2009--Criticism and interpretation","","English","",""
"823.914","014782993","Monograph","Language material ; Text","Volume","GBA8C1396","","9780753195246","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Miracles of life : Shanghai to Shepperton : an autobiography","","","","England","Oxford","ISIS","2009","Large print edition","249 pages (large print), 25 cm","LT.2009.x.390","Ballard, J. G, 1930-2009 ; World War, 1939-1945--Influence ; Large type books ; Novelists, English--20th century--Biography","Biography","English","Originally published: London: Fourth Estate, 2008",""
"823.914","014785570","Monograph","Language material ; Text","Volume","GBA9C2295","","9780006548140","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Rushing to paradise","","","","England","London","HarperCollins","2008","","238 pages, 16 pages, 20 cm","H.2009/.5259","","","English","First published in 1994 by Flamingo",""
"823.914","015118840","Monograph","Language material ; Text","Volume","","","9782915453478","","","","","Ballard, J. G., 1930-2009 [person] ; Schmidt, Jérôme [person] ; Notéris, Emilie [person]","J.G. Ballard : hautes altitudes","","","","France","Alfortville","","2008","","216 pages, illustrations, 19 cm","YF.2012.a.13231","British Science Fiction Literature--20th Century--Critical Essays ; Ballard, J. G, 1930-2009--Criticism and interpretation","","French","",""
"823.914","015565821","Monograph","Language material ; Text","Volume","GBB066737","","9780007378333","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Empire of the sun","","","","England","London","Fourth Estate","2010","Special commemorative edition","1 volume, 24 cm","","Shanghai (China)--Fiction ; Boys--China--Shanghai--Fiction ; British--China--Shanghai--Fiction ; World War, 1939-1945--China--Shanghai--Fiction","Bildungsroman ; Fiction","English","Originally published: London: Gollancz, 1984",""
"823.914","015565822","Monograph","Language material ; Text","Volume","GBB066738","","9780007378340","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Fourth Estate","2010","Special commemorative edition","1 volume, 24 cm","","Traffic accident victims--Psychology--Fiction ; Traffic accident victims--Sexual behavior--Fiction ; Traffic accidents--Fiction","Fiction","English","Originally published: London: Jonathan Cape, 1973",""
"823.914","015813207","Monograph","Language material ; Text","Volume","GBB161576","","9780230278127","","","","","Baxter, Jeannette [person] ; Wymer, Rowland [person]","J.G. Ballard : visions and revisions","","","","England","Basingstoke","Palgrave Macmillan","2012","","x, 255 pages, 23 cm","YC.2013.a.7839","Science fiction, English--History and criticism ; Ballard, J. G, 1930-2009--Criticism and interpretation","","English","",""
"823.914","015813334","Monograph","Language material ; Text","Volume","GBB161703","","9780297863526","Baxter, John","1939-","person","","Baxter, John, 1939- [person]","The inner man : the life of J.G. Ballard","","","","England","London","Weidenfeld & Nicolson","2011","","377 pages, 16 pages of plates, illustrations (some colour), portraits (some colour), 24 cm","YK.2012.a.13855","Ballard, J. G, 1930-2009 ; Novelists, English--20th century--Biography","Biography","English","",""
"823.914","015830574","Monograph","Language material ; Text","Volume","GBB175330","","9781441161956","Francis, Samuel T.","","person","","Francis, Samuel T. [person]","The psychological fictions of J.G. Ballard","","Continuum literary studies series","","England","London","Continuum","2011","","202 pages, 24 cm","YC.2011.a.17050","Ballard, J. G, 1930-2009--Criticism and interpretation ; Psychology in literature","","English","",""
"823.914","016062793","Monograph","Language material ; Text","Volume","GBB233469","","9780297863533 ; 9780753828892","Baxter, John","1939-","person","","Baxter, John, 1939- [person]","The inner man : the life of J.G. Ballard","","","","England","London","Phoenix","2012","","1 volume, illustrations (some colour), 20 cm","","Ballard, J. G, 1930-2009 ; Novelists, English--20th century--Biography","Biography","English","Originally published: London: Weidenfeld & Nicolson, 2011",""
"823.914","016086021","Monograph","Language material ; Text","Volume","GBB246800","","9780007454853","Ballard, J. G.","1930-2009","person","","O'Hara, Daniel Finbarr John, 1972- [person] ; Ballard, J. G., 1930-2009 [person] ; Sellars, Simon [person]","Extreme metaphors : selected interviews with J.G. Ballard, 1967-2008","","","","England","London","Fourth Estate","2012","","xxiii, 503 pages, 24 cm","YC.2013.a.7204","Ballard, J. G, 1930-2009--Interviews","Interview","English","",""
"823.914","016256756","Monograph","Language material ; Still image ; Text","Volume","GBB305811","","9780985762513","","","","","Ballard, J. G., 1930-2009 [person] ; Black, Candice, editor [person] ; Ballard, J. G., 1930-2009, artist ; author ; interviewee [person]","Terminal atrocity zone : Ballard","Advertiser's announcements ; Coitus 80 ; Journey across a crater","","","Thailand","Bangkok","Sun Vision","2013","","1 volume, black and white illustrations, 23 cm","","Science fiction, English ; Ballard, J. G, 1930-2009--Criticism and interpretation ; Ballard, J. G, 1930-2009--Interviews","Interview","English","",""
"823.914","016421208","Monograph","Language material ; Text","Volume","GBB5G7481","","9781472513038","Francis, Samuel","","person","author ; lecturer","Francis, Samuel, author ; lecturer [person]","The psychological fictions of J.G. Ballard","","Continuum literary studies series","","England","London","Continuum","2011","","202 pages, 24 cm","","English fiction--21st century--History and criticism ; Ballard, J. G, 1930-2009--Criticism and interpretation ; Psychological fiction, English--History and criticism ; English fiction--20th century--History and criticism","","English","",""
"823.914","016536302","Monograph","Language material ; Text","Volume","GBB3A0613","","9780007454860","Ballard, J. G.","1930-2009","person","author","O'Hara, Daniel Finbarr John, 1972-, editor [person] ; Ballard, J. G., 1930-2009, author [person] ; Sellars, Simon, editor [person]","Extreme metaphors : selected interviews with J.G. Ballard, 1967-2008","Works. Selections","","","England","London","Fourth Estate","2014","","503 pages, 20 cm","","Authors, English--20th century--Interviews ; Ballard, J. G, 1930-2009--Interviews","Interview","English","Includes index ; Originally published: 2012",""
"823.914","016659368","Monograph","Language material ; Text","Volume","","","9780312131647 ; 9780312134150","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Rushing to paradise","","","","United States of America","New York","Picador USA","1995","1st Picador USA edition","238 pages, 22 cm","YD.2014.a.1226","Feminists--Fiction ; Utopias--Fiction ; Islands of the Pacific--Fiction ; Women environmentalists--Fiction","Humour or satire ; Utopian fiction","English","",""
"823.914","016659370","Monograph","Language material ; Text","Volume","","","9780870541575","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person] ; Potter, J. K., illustrator [person]","Memories of the space age","Short stories. Selections","","","United States of America","Sauk City, Wisconson","Arkham House","1988","First edition","216 pages, black and white illustrations, 21 cm","YD.2014.a.1221","Science fiction, English","","English","Eight stories originally published between 1962 and 1985",""
"823.914","016659399","Monograph","Language material ; Text","Volume","","","9781887178662","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Cocaine nights","","","","United States of America","Washington, District of Columbia","Counterpoint","1998","","328 pages, 23 cm","YD.2014.a.1219","British--Spain--Fiction ; Retirees--Fiction","Detective and mystery fiction","English","Originally published: London : HarperCollinsPublishers. 1996",""
"823.914","016659405","Monograph","Language material ; Text","Volume","","","9780374524135","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Concrete island","","","","United States of America","New York","Noonday Press","1994","","175 pages, 21 cm","YD.2014.a.1220","Survival after airplane accidents, shipwrecks, etc--Fiction ; Traffic accidents--Fiction","Fiction","English","Originally published: Farrar, Straus and Giroux. 1974",""
"823.914","016659420","Monograph","Language material ; Text","Volume","","","9780671530518","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Empire of the Sun : a novel","","","","United States of America","New York","Simon & Schuster","1984","","279 pages, 25 cm","YD.2014.a.1223","Boys--Fiction ; Shanghai (China)--Fiction ; World War, 1939-1945--China--Shanghai--Fiction","Bildungsroman","English","Sequel: The kindness of women",""
"823.914","016659424","Monograph","Language material ; Text","Volume","GBB436825","","9780743265232","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Empire of the Sun : a novel","","","","United States of America","New York","Simon & Schuster","2005","First Simon and Schuster paperbacks edition","279 pages, 22 cm","YD.2014.a.1225","Boys--Fiction ; Shanghai (China)--Fiction ; World War, 1939-1945--China--Shanghai--Fiction","Bildungsroman ; Fiction","English","Originally published: 1984",""
"823.914","016659427","Monograph","Language material ; Text","Volume","","","9780374286453","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","War fever","Short stories. Selections","","","United States of America","New York","Farrar, Straus & Giroux","1991","First American edition","175 pages, 24 cm","YD.2014.a.1224","","","English","Includes index ; Originally published: Great Britain : William Collins Sons & Company Limited. 1990",""
"823.914","016659441","Monograph","Language material ; Text","Volume","","","9780374181109","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","The kindness of women","","","","United States of America","New York","Farrar, Straus & Giroux","1991","First American edition","343 pages, 24 cm","YD.2014.a.1222","","","English","Originally published: Great Britain : HarperCollinsPublishers. 1991",""
"823.914","016984568","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB4F0906","","9780008120269","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Running wild","","","","England","London","Fourth Estate","2014","","1 online resource","","","Suspense fiction","English","",""
"823.914","017379931","Monograph","Language material ; Text","Volume","GBB569149","","9780008134891","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","High-rise","","","","England","London","4th Estate","2016","Film tie-in edition","248 pages, 20 cm","H.2017/.7285","High-rise apartment buildings--Social aspects--Fiction","Dystopia ; Fiction","English","Film tie-in ; Originally published: London: Cape, 1975",""
"823.914","017534390","Monograph","Language material ; Still image ; Text","Volume","GBB5C2188","","9781780240183","Paddy, David Ian","","person","author","Paddy, David Ian, author [person]","The empires of J.G. Ballard : an imagined geography","","SF storyworlds","2 [SF storyworlds]","England","Canterbury","Gylphi","2015","","ix, 366 pages, illustrations, 22 cm","YC.2016.a.5391","Ballard, J. G, 1930-2009--Criticism and interpretation","","English","'A Gylphi Limited book' ; Additional physical form: ebook version. 9781780240206",""
"823.914","017535047","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook ; Kindle ebook)","GBB5C2844","","9781780240190 ; 9781780240206","Paddy, David Ian","","person","author","Paddy, David Ian, author [person]","The empires of J.G. Ballard : an imagined geography","","SF storyworlds","2 [SF storyworlds]","England","Canterbury","Gylphi","2015","","1 online resource, illustrations","","Ballard, J. G, 1930-2009--Criticism and interpretation","","English","Additional physical form: Print version. 9781780240183",""
